Countries,Type of Coffee,Year,Price paid to Growers in US cents/lb
Philippines,Robusta,1999,60.14
Sierra Leone,Robusta,1999,0.0
Sri Lanka,Robusta,1999,0.0
Tanzania,Robusta,1999,23.52
Thailand,Robusta,1999,31.31
Togo,Robusta,1999,43.22
Trinidad & Tobago,Robusta,1999,79.23
Uganda,Robusta,1999,31.52
Viet Nam,Robusta,1999,50.7
Colombia,Arabica,2000,74.96
Kenya,Arabica,2000,72.98
Tanzania,Arabica,2000,54.32
Bolivia (Plurinational State of),Arabica,2000,78.05
Burundi,Arabica,2000,37.35
Cameroon,Arabica,2000,33.22
Costa Rica,Arabica,2000,69.28
Cuba,Arabica,2000,188.57
Democratic Republic of Congo,Arabica,2000,0.0
Dominican Republic,Arabica,2000,68.01
Ecuador,Arabica,2000,65.97
El Salvador,Arabica,2000,44.55
Guatemala,Arabica,2000,70.37
Haiti,Arabica,2000,22.49
Honduras,Arabica,2000,54.29
India,Arabica,2000,63.75
Jamaica,Arabica,2000,208.44
Madagascar,Arabica,2000,155.83
Malawi,Arabica,2000,57.6
Mexico,Arabica,2000,64.08
Nicaragua,Arabica,2000,0.0
Panama,Arabica,2000,0.0
Papua New Guinea,Arabica,2000,49.28
Peru,Arabica,2000,53.86
Rwanda,Arabica,2000,34.08
Sri Lanka,Arabica,2000,0.0
Uganda,Arabica,2000,41.0
Venezuela,Arabica,2000,0.0
Zambia,Arabica,2000,91.86
Zimbabwe,Arabica,2000,0.0
Angola,Arabica,2000,0.0
Brazil,Arabica,2000,65.98
Ethiopia,Arabica,2000,56.42
Indonesia,Arabica,2000,68.41
Philippines,Arabica,2000,37.04
Thailand,Arabica,2000,0.0
Viet Nam,Arabica,2000,0.0
Angola,Robusta,2000,51.74
Benin,Robusta,2000,0.0
Brazil,Robusta,2000,41.53
Burundi,Robusta,2000,0.0
Cameroon,Robusta,2000,30.44
Central African Republic,Robusta,2000,18.28
Congo,Robusta,2000,0.0
Côte d'Ivoire,Robusta,2000,23.85
Democratic Republic of Congo,Robusta,2000,45.04
Ecuador,Robusta,2000,32.7
Gabon,Robusta,2000,51.11
Ghana,Robusta,2000,0.0
Guinea,Robusta,2000,0.0
India,Robusta,2000,35.87
Indonesia,Robusta,2000,22.4
Liberia,Robusta,2000,0.0
Madagascar,Robusta,2000,109.0
Nigeria,Robusta,2000,0.0
Papua New Guinea,Robusta,2000,21.89
Philippines,Robusta,2000,34.2
Sierra Leone,Robusta,2000,0.0
Sri Lanka,Robusta,2000,0.0
Tanzania,Robusta,2000,15.29
Thailand,Robusta,2000,12.35
Togo,Robusta,2000,22.92
Trinidad & Tobago,Robusta,2000,0.0
Uganda,Robusta,2000,19.92
Viet Nam,Robusta,2000,26.55
Colombia,Arabica,2001,57.95
Kenya,Arabica,2001,69.4
Tanzania,Arabica,2001,34.86
Bolivia (Plurinational State of),Arabica,2001,0.0
Burundi,Arabica,2001,32.19
Cameroon,Arabica,2001,19.09
Costa Rica,Arabica,2001,46.69
Cuba,Arabica,2001,188.57
Democratic Republic of Congo,Arabica,2001,0.0
Dominican Republic,Arabica,2001,42.04
Ecuador,Arabica,2001,27.28
El Salvador,Arabica,2001,17.63
Guatemala,Arabica,2001,45.35
Haiti,Arabica,2001,0.0
Honduras,Arabica,2001,34.32
India,Arabica,2001,43.82
Jamaica,Arabica,2001,169.59
Madagascar,Arabica,2001,64.59
Malawi,Arabica,2001,46.42
Mexico,Arabica,2001,53.98
Nicaragua,Arabica,2001,29.65
Panama,Arabica,2001,0.0
Papua New Guinea,Arabica,2001,32.97
Peru,Arabica,2001,34.77
Rwanda,Arabica,2001,23.26
Sri Lanka,Arabica,2001,0.0
Uganda,Arabica,2001,27.51
Venezuela,Arabica,2001,0.0
Zambia,Arabica,2001,65.73
Zimbabwe,Arabica,2001,0.0
Angola,Arabica,2001,0.0
Brazil,Arabica,2001,37.05
Ethiopia,Arabica,2001,43.78
Indonesia,Arabica,2001,53.61
Philippines,Arabica,2001,49.36
Thailand,Arabica,2001,0.0
Viet Nam,Arabica,2001,0.0
Angola,Robusta,2001,18.61
Benin,Robusta,2001,0.0
Brazil,Robusta,2001,19.35
Burundi,Robusta,2001,0.0
Cameroon,Robusta,2001,21.13
Central African Republic,Robusta,2001,13.22
Congo,Robusta,2001,0.0
Côte d'Ivoire,Robusta,2001,0.0
Democratic Republic of Congo,Robusta,2001,7.95
Ecuador,Robusta,2001,11.26
Gabon,Robusta,2001,47.93
Ghana,Robusta,2001,0.0
Guinea,Robusta,2001,0.0
India,Robusta,2001,23.44
Indonesia,Robusta,2001,13.57
Liberia,Robusta,2001,0.0
Madagascar,Robusta,2001,51.66
Nigeria,Robusta,2001,0.0
Papua New Guinea,Robusta,2001,12.0
Philippines,Robusta,2001,23.63
Sierra Leone,Robusta,2001,0.0
Sri Lanka,Robusta,2001,0.0
Tanzania,Robusta,2001,5.21
Thailand,Robusta,2001,12.75
Togo,Robusta,2001,15.32
Trinidad & Tobago,Robusta,2001,0.0
Uganda,Robusta,2001,10.57
Viet Nam,Robusta,2001,15.12
Colombia,Arabica,2002,52.57
Kenya,Arabica,2002,67.67
Tanzania,Arabica,2002,25.93
Bolivia (Plurinational State of),Arabica,2002,0.0
Burundi,Arabica,2002,29.17
Cameroon,Arabica,2002,24.56
Costa Rica,Arabica,2002,46.74
Cuba,Arabica,2002,188.57
Democratic Republic of Congo,Arabica,2002,0.0
Dominican Republic,Arabica,2002,50.83
Ecuador,Arabica,2002,27.36
El Salvador,Arabica,2002,21.84
Guatemala,Arabica,2002,49.61
Haiti,Arabica,2002,0.0
Honduras,Arabica,2002,37.06
India,Arabica,2002,39.61
Jamaica,Arabica,2002,237.6
Madagascar,Arabica,2002,72.5
Malawi,Arabica,2002,39.79
Mexico,Arabica,2002,45.08
Nicaragua,Arabica,2002,30.15
Panama,Arabica,2002,0.0
Papua New Guinea,Arabica,2002,31.66
Peru,Arabica,2002,29.52
Rwanda,Arabica,2002,17.88
Sri Lanka,Arabica,2002,0.0
Uganda,Arabica,2002,27.52
Venezuela,Arabica,2002,0.0
Zambia,Arabica,2002,60.01
Zimbabwe,Arabica,2002,0.0
Angola,Arabica,2002,0.0
Brazil,Arabica,2002,30.91
Ethiopia,Arabica,2002,26.88
Indonesia,Arabica,2002,59.66
Philippines,Arabica,2002,21.74
Thailand,Arabica,2002,0.0
Viet Nam,Arabica,2002,0.0
Angola,Robusta,2002,10.71
Benin,Robusta,2002,0.0
Brazil,Robusta,2002,19.99
Burundi,Robusta,2002,0.0
Cameroon,Robusta,2002,16.05
Central African Republic,Robusta,2002,11.94
Congo,Robusta,2002,0.0
Côte d'Ivoire,Robusta,2002,8.96
Democratic Republic of Congo,Robusta,2002,2.96
Ecuador,Robusta,2002,12.0
Gabon,Robusta,2002,44.58
Ghana,Robusta,2002,0.0
Guinea,Robusta,2002,0.0
India,Robusta,2002,22.08
Indonesia,Robusta,2002,14.65
Liberia,Robusta,2002,0.0
Madagascar,Robusta,2002,55.7
Nigeria,Robusta,2002,0.0
Papua New Guinea,Robusta,2002,13.31
Philippines,Robusta,2002,21.45
Sierra Leone,Robusta,2002,0.0
Sri Lanka,Robusta,2002,0.0
Tanzania,Robusta,2002,4.3
Thailand,Robusta,2002,6.44
Togo,Robusta,2002,18.27
Trinidad & Tobago,Robusta,2002,0.0
Uganda,Robusta,2002,12.78
Viet Nam,Robusta,2002,18.14
Colombia,Arabica,2003,48.34
Kenya,Arabica,2003,41.07
Tanzania,Arabica,2003,24.78
Bolivia (Plurinational State of),Arabica,2003,0.0
Burundi,Arabica,2003,24.88
Cameroon,Arabica,2003,35.27
Costa Rica,Arabica,2003,52.99
Cuba,Arabica,2003,168.93
Democratic Republic of Congo,Arabica,2003,0.0
Dominican Republic,Arabica,2003,49.57
Ecuador,Arabica,2003,31.06
El Salvador,Arabica,2003,25.69
Guatemala,Arabica,2003,48.42
Haiti,Arabica,2003,0.0
Honduras,Arabica,2003,41.71
India,Arabica,2003,43.45
Jamaica,Arabica,2003,185.62
Madagascar,Arabica,2003,86.58
Malawi,Arabica,2003,39.62
Mexico,Arabica,2003,64.02
Nicaragua,Arabica,2003,34.42
Panama,Arabica,2003,0.0
Papua New Guinea,Arabica,2003,36.99
Peru,Arabica,2003,32.93
Rwanda,Arabica,2003,24.89
Sri Lanka,Arabica,2003,0.0
Uganda,Arabica,2003,28.64
Venezuela,Arabica,2003,0.0
Zambia,Arabica,2003,52.97
Zimbabwe,Arabica,2003,0.0
Angola,Arabica,2003,0.0
Brazil,Arabica,2003,42.82
Ethiopia,Arabica,2003,34.57
Indonesia,Arabica,2003,42.05
Philippines,Arabica,2003,60.63
Thailand,Arabica,2003,0.0
Viet Nam,Arabica,2003,0.0
Angola,Robusta,2003,6.61
Benin,Robusta,2003,0.0
Brazil,Robusta,2003,31.61
Burundi,Robusta,2003,0.0
Cameroon,Robusta,2003,22.26
Central African Republic,Robusta,2003,18.06
Congo,Robusta,2003,0.0
Côte d'Ivoire,Robusta,2003,17.71
Democratic Republic of Congo,Robusta,2003,5.61
Ecuador,Robusta,2003,21.86
Gabon,Robusta,2003,0.0
Ghana,Robusta,2003,0.0
Guinea,Robusta,2003,0.0
India,Robusta,2003,28.6
Indonesia,Robusta,2003,16.61
Liberia,Robusta,2003,0.0
Madagascar,Robusta,2003,55.92
Nigeria,Robusta,2003,0.0
Papua New Guinea,Robusta,2003,17.31
Philippines,Robusta,2003,32.65
Sierra Leone,Robusta,2003,0.0
Sri Lanka,Robusta,2003,0.0
Tanzania,Robusta,2003,6.72
Thailand,Robusta,2003,13.25
Togo,Robusta,2003,22.77
Trinidad & Tobago,Robusta,2003,0.0
Uganda,Robusta,2003,20.81
Viet Nam,Robusta,2003,27.94
Colombia,Arabica,2004,60.83
Kenya,Arabica,2004,71.01
Tanzania,Arabica,2004,26.37
Bolivia (Plurinational State of),Arabica,2004,0.0
Burundi,Arabica,2004,27.36
Cameroon,Arabica,2004,0.0
Costa Rica,Arabica,2004,64.87
Cuba,Arabica,2004,70.18
Democratic Republic of Congo,Arabica,2004,0.0
Dominican Republic,Arabica,2004,75.7
Ecuador,Arabica,2004,51.19
El Salvador,Arabica,2004,39.3
Guatemala,Arabica,2004,66.91
Haiti,Arabica,2004,0.0
Honduras,Arabica,2004,50.22
India,Arabica,2004,58.32
Jamaica,Arabica,2004,185.42
Madagascar,Arabica,2004,46.82
Malawi,Arabica,2004,51.68
Mexico,Arabica,2004,90.78
Nicaragua,Arabica,2004,40.87
Panama,Arabica,2004,0.0
Papua New Guinea,Arabica,2004,41.1
Peru,Arabica,2004,42.43
Rwanda,Arabica,2004,29.46
Sri Lanka,Arabica,2004,0.0
Uganda,Arabica,2004,35.99
Venezuela,Arabica,2004,0.0
Zambia,Arabica,2004,64.44
Zimbabwe,Arabica,2004,0.0
Angola,Arabica,2004,0.0
Brazil,Arabica,2004,56.33
Ethiopia,Arabica,2004,48.85
Indonesia,Arabica,2004,80.62
Philippines,Arabica,2004,66.23
Thailand,Arabica,2004,0.0
Viet Nam,Arabica,2004,0.0
Angola,Robusta,2004,9.92
Benin,Robusta,2004,0.0
Brazil,Robusta,2004,34.85
Burundi,Robusta,2004,0.0
Cameroon,Robusta,2004,0.0
Central African Republic,Robusta,2004,20.17
Congo,Robusta,2004,0.0
Côte d'Ivoire,Robusta,2004,14.77
Democratic Republic of Congo,Robusta,2004,0.0
Ecuador,Robusta,2004,29.75
Gabon,Robusta,2004,0.0
Ghana,Robusta,2004,0.0
Guinea,Robusta,2004,0.0
India,Robusta,2004,30.8
Indonesia,Robusta,2004,24.17
Liberia,Robusta,2004,0.0
Madagascar,Robusta,2004,19.74
Nigeria,Robusta,2004,0.0
Papua New Guinea,Robusta,2004,22.16
Philippines,Robusta,2004,31.89
Sierra Leone,Robusta,2004,0.0
Sri Lanka,Robusta,2004,0.0
Tanzania,Robusta,2004,7.55
Thailand,Robusta,2004,12.83
Togo,Robusta,2004,21.91
Trinidad & Tobago,Robusta,2004,0.0
Uganda,Robusta,2004,26.26
Viet Nam,Robusta,2004,26.0
Colombia,Arabica,2005,89.22
Kenya,Arabica,2005,0.0
Tanzania,Arabica,2005,43.69
Bolivia (Plurinational State of),Arabica,2005,0.0
Burundi,Arabica,2005,42.93
Cameroon,Arabica,2005,0.0
Costa Rica,Arabica,2005,83.43
Cuba,Arabica,2005,70.71
Democratic Republic of Congo,Arabica,2005,0.0
Dominican Republic,Arabica,2005,87.92
Ecuador,Arabica,2005,91.62
El Salvador,Arabica,2005,67.1
Guatemala,Arabica,2005,92.46
Haiti,Arabica,2005,0.0
Honduras,Arabica,2005,78.69
India,Arabica,2005,96.53
Jamaica,Arabica,2005,244.69
Madagascar,Arabica,2005,50.8
Malawi,Arabica,2005,83.71
Mexico,Arabica,2005,139.03
Nicaragua,Arabica,2005,52.88
Panama,Arabica,2005,0.0
Papua New Guinea,Arabica,2005,62.26
Peru,Arabica,2005,71.94
Rwanda,Arabica,2005,46.25
Sri Lanka,Arabica,2005,0.0
Uganda,Arabica,2005,57.86
Venezuela,Arabica,2005,0.0
Zambia,Arabica,2005,87.18
Zimbabwe,Arabica,2005,0.0
Angola,Arabica,2005,0.0
Brazil,Arabica,2005,87.09
Ethiopia,Arabica,2005,64.23
Indonesia,Arabica,2005,117.04
Philippines,Arabica,2005,80.0
Thailand,Arabica,2005,0.0
Viet Nam,Arabica,2005,0.0
Angola,Robusta,2005,10.42
Benin,Robusta,2005,0.0
Brazil,Robusta,2005,46.47
Burundi,Robusta,2005,0.0
Cameroon,Robusta,2005,0.0
Central African Republic,Robusta,2005,0.0
Congo,Robusta,2005,0.0
Côte d'Ivoire,Robusta,2005,11.23
Democratic Republic of Congo,Robusta,2005,0.0
Ecuador,Robusta,2005,50.96
Gabon,Robusta,2005,0.0
Ghana,Robusta,2005,0.0
Guinea,Robusta,2005,0.0
India,Robusta,2005,52.42
Indonesia,Robusta,2005,34.21
Liberia,Robusta,2005,0.0
Madagascar,Robusta,2005,30.24
Nigeria,Robusta,2005,0.0
Papua New Guinea,Robusta,2005,24.3
Philippines,Robusta,2005,41.69
Sierra Leone,Robusta,2005,0.0
Sri Lanka,Robusta,2005,0.0
Tanzania,Robusta,2005,14.27
Thailand,Robusta,2005,18.32
Togo,Robusta,2005,27.92
Trinidad & Tobago,Robusta,2005,0.0
Uganda,Robusta,2005,40.82
Viet Nam,Robusta,2005,35.9
Colombia,Arabica,2006,89.81
Kenya,Arabica,2006,0.0
Tanzania,Arabica,2006,42.77
Bolivia (Plurinational State of),Arabica,2006,0.0
Burundi,Arabica,2006,63.45
Cameroon,Arabica,2006,0.0
Costa Rica,Arabica,2006,89.22
Cuba,Arabica,2006,70.71
Democratic Republic of Congo,Arabica,2006,0.0
Dominican Republic,Arabica,2006,86.29
Ecuador,Arabica,2006,92.45
El Salvador,Arabica,2006,67.49
Guatemala,Arabica,2006,91.19
Haiti,Arabica,2006,0.0
Honduras,Arabica,2006,80.82
India,Arabica,2006,95.86
Jamaica,Arabica,2006,354.89
Madagascar,Arabica,2006,0.0
Malawi,Arabica,2006,84.58
Mexico,Arabica,2006,85.5
Nicaragua,Arabica,2006,58.66
Panama,Arabica,2006,0.0
Papua New Guinea,Arabica,2006,71.28
Peru,Arabica,2006,68.83
Rwanda,Arabica,2006,0.0
Sri Lanka,Arabica,2006,0.0
Uganda,Arabica,2006,55.34
Venezuela,Arabica,2006,0.0
Zambia,Arabica,2006,100.18
Zimbabwe,Arabica,2006,0.0
Angola,Arabica,2006,0.0
Brazil,Arabica,2006,87.02
Ethiopia,Arabica,2006,58.32
Indonesia,Arabica,2006,107.52
Philippines,Arabica,2006,61.51
Thailand,Arabica,2006,0.0
Viet Nam,Arabica,2006,0.0
Angola,Robusta,2006,12.98
Benin,Robusta,2006,0.0
Brazil,Robusta,2006,62.03
Burundi,Robusta,2006,0.0
Cameroon,Robusta,2006,0.0
Central African Republic,Robusta,2006,0.0
Congo,Robusta,2006,0.0
Côte d'Ivoire,Robusta,2006,27.99
Democratic Republic of Congo,Robusta,2006,0.0
Ecuador,Robusta,2006,53.73
Gabon,Robusta,2006,0.0
Ghana,Robusta,2006,0.0
Guinea,Robusta,2006,0.0
India,Robusta,2006,61.35
Indonesia,Robusta,2006,52.47
Liberia,Robusta,2006,0.0
Madagascar,Robusta,2006,41.71
Nigeria,Robusta,2006,0.0
Papua New Guinea,Robusta,2006,32.89
Philippines,Robusta,2006,55.32
Sierra Leone,Robusta,2006,0.0
Sri Lanka,Robusta,2006,0.0
Tanzania,Robusta,2006,21.45
Thailand,Robusta,2006,46.55
Togo,Robusta,2006,44.72
Trinidad & Tobago,Robusta,2006,0.0
Uganda,Robusta,2006,47.02
Viet Nam,Robusta,2006,54.5
Colombia,Arabica,2007,100.05
Kenya,Arabica,2007,0.0
Tanzania,Arabica,2007,59.78
Bolivia (Plurinational State of),Arabica,2007,0.0
Burundi,Arabica,2007,80.35
Cameroon,Arabica,2007,80.19
Costa Rica,Arabica,2007,98.64
Cuba,Arabica,2007,47.14
Democratic Republic of Congo,Arabica,2007,0.0
Dominican Republic,Arabica,2007,87.13
Ecuador,Arabica,2007,110.52
El Salvador,Arabica,2007,75.24
Guatemala,Arabica,2007,98.31
Haiti,Arabica,2007,0.0
Honduras,Arabica,2007,81.63
India,Arabica,2007,108.03
Jamaica,Arabica,2007,343.06
Madagascar,Arabica,2007,0.0
Malawi,Arabica,2007,80.36
Mexico,Arabica,2007,90.91
Nicaragua,Arabica,2007,64.36
Panama,Arabica,2007,0.0
Papua New Guinea,Arabica,2007,76.69
Peru,Arabica,2007,85.44
Rwanda,Arabica,2007,0.0
Sri Lanka,Arabica,2007,0.0
Uganda,Arabica,2007,65.01
Venezuela,Arabica,2007,0.0
Zambia,Arabica,2007,106.45
Zimbabwe,Arabica,2007,0.0
Angola,Arabica,2007,0.0
Brazil,Arabica,2007,98.3
Ethiopia,Arabica,2007,69.83
Indonesia,Arabica,2007,117.99
Philippines,Arabica,2007,81.37
Thailand,Arabica,2007,0.0
Viet Nam,Arabica,2007,0.0
Angola,Robusta,2007,36.05
Benin,Robusta,2007,0.0
Brazil,Robusta,2007,78.94
Burundi,Robusta,2007,0.0
Cameroon,Robusta,2007,55.13
Central African Republic,Robusta,2007,45.34
Congo,Robusta,2007,0.0
Côte d'Ivoire,Robusta,2007,32.84
Democratic Republic of Congo,Robusta,2007,0.0
Ecuador,Robusta,2007,64.9
Gabon,Robusta,2007,0.0
Ghana,Robusta,2007,0.0
Guinea,Robusta,2007,0.0
India,Robusta,2007,79.38
Indonesia,Robusta,2007,55.8
Liberia,Robusta,2007,0.0
Madagascar,Robusta,2007,69.57
Nigeria,Robusta,2007,0.0
Papua New Guinea,Robusta,2007,23.91
Philippines,Robusta,2007,74.48
Sierra Leone,Robusta,2007,0.0
Sri Lanka,Robusta,2007,0.0
Tanzania,Robusta,2007,21.38
Thailand,Robusta,2007,64.67
Togo,Robusta,2007,56.72
Trinidad & Tobago,Robusta,2007,0.0
Uganda,Robusta,2007,55.88
Viet Nam,Robusta,2007,71.14
Colombia,Arabica,2008,114.22
Kenya,Arabica,2008,0.0
Tanzania,Arabica,2008,63.38
Bolivia (Plurinational State of),Arabica,2008,0.0
Burundi,Arabica,2008,86.19
Cameroon,Arabica,2008,79.13
Costa Rica,Arabica,2008,106.17
Cuba,Arabica,2008,70.71
Democratic Republic of Congo,Arabica,2008,0.0
Dominican Republic,Arabica,2008,101.45
Ecuador,Arabica,2008,145.04
El Salvador,Arabica,2008,86.05
Guatemala,Arabica,2008,111.03
Haiti,Arabica,2008,0.0
Honduras,Arabica,2008,90.56
India,Arabica,2008,121.7
Jamaica,Arabica,2008,348.48
Madagascar,Arabica,2008,0.0
Malawi,Arabica,2008,76.23
Mexico,Arabica,2008,106.05
Nicaragua,Arabica,2008,71.02
Panama,Arabica,2008,0.0
Papua New Guinea,Arabica,2008,111.78
Peru,Arabica,2008,92.39
Rwanda,Arabica,2008,0.0
Sri Lanka,Arabica,2008,0.0
Uganda,Arabica,2008,73.32
Venezuela,Arabica,2008,0.0
Zambia,Arabica,2008,126.7
Zimbabwe,Arabica,2008,0.0
Angola,Arabica,2008,0.0
Brazil,Arabica,2008,109.26
Ethiopia,Arabica,2008,71.71
Indonesia,Arabica,2008,0.0
Philippines,Arabica,2008,95.52
Thailand,Arabica,2008,0.0
Viet Nam,Arabica,2008,0.0
Angola,Robusta,2008,42.32
Benin,Robusta,2008,0.0
Brazil,Robusta,2008,91.58
Burundi,Robusta,2008,0.0
Cameroon,Robusta,2008,52.54
Central African Republic,Robusta,2008,45.69
Congo,Robusta,2008,0.0
Côte d'Ivoire,Robusta,2008,51.86
Democratic Republic of Congo,Robusta,2008,0.0
Ecuador,Robusta,2008,79.26
Gabon,Robusta,2008,0.0
Ghana,Robusta,2008,0.0
Guinea,Robusta,2008,0.0
India,Robusta,2008,96.12
Indonesia,Robusta,2008,0.0
Liberia,Robusta,2008,0.0
Madagascar,Robusta,2008,0.0
Nigeria,Robusta,2008,0.0
Papua New Guinea,Robusta,2008,34.9
Philippines,Robusta,2008,88.33
Sierra Leone,Robusta,2008,0.0
Sri Lanka,Robusta,2008,0.0
Tanzania,Robusta,2008,35.32
Thailand,Robusta,2008,83.75
Togo,Robusta,2008,76.94
Trinidad & Tobago,Robusta,2008,0.0
Uganda,Robusta,2008,71.09
Viet Nam,Robusta,2008,89.15
Colombia,Arabica,2009,138.96
Kenya,Arabica,2009,0.0
Tanzania,Arabica,2009,0.0
Bolivia (Plurinational State of),Arabica,2009,0.0
Burundi,Arabica,2009,85.68
Cameroon,Arabica,2009,66.05
Costa Rica,Arabica,2009,106.88
Cuba,Arabica,2009,70.71
Democratic Republic of Congo,Arabica,2009,0.0
Dominican Republic,Arabica,2009,106.04
Ecuador,Arabica,2009,147.09
El Salvador,Arabica,2009,79.19
Guatemala,Arabica,2009,109.64
Haiti,Arabica,2009,0.0
Honduras,Arabica,2009,83.72
India,Arabica,2009,136.89
Jamaica,Arabica,2009,295.97
Madagascar,Arabica,2009,0.0
Malawi,Arabica,2009,91.31
Mexico,Arabica,2009,0.0
Nicaragua,Arabica,2009,71.02
Panama,Arabica,2009,0.0
Papua New Guinea,Arabica,2009,72.75
Peru,Arabica,2009,92.66
Rwanda,Arabica,2009,0.0
Sri Lanka,Arabica,2009,0.0
Uganda,Arabica,2009,60.54
Venezuela,Arabica,2009,0.0
Zambia,Arabica,2009,116.54
Zimbabwe,Arabica,2009,0.0
Angola,Arabica,2009,0.0
Brazil,Arabica,2009,100.8
Ethiopia,Arabica,2009,77.06
Indonesia,Arabica,2009,0.0
Philippines,Arabica,2009,0.0
Thailand,Arabica,2009,0.0
Viet Nam,Arabica,2009,0.0
Angola,Robusta,2009,40.14
Benin,Robusta,2009,0.0
Brazil,Robusta,2009,73.42
Burundi,Robusta,2009,0.0
Cameroon,Robusta,2009,37.74
Central African Republic,Robusta,2009,43.59
Congo,Robusta,2009,0.0
Côte d'Ivoire,Robusta,2009,37.52
Democratic Republic of Congo,Robusta,2009,0.0
Ecuador,Robusta,2009,77.99
Gabon,Robusta,2009,91.96
Ghana,Robusta,2009,0.0
Guinea,Robusta,2009,0.0
India,Robusta,2009,73.13
Indonesia,Robusta,2009,0.0
Liberia,Robusta,2009,0.0
Madagascar,Robusta,2009,0.0
Nigeria,Robusta,2009,0.0
Papua New Guinea,Robusta,2009,27.57
Philippines,Robusta,2009,69.38
