Title,Author,Original Price (COP),Actual Price (COP),Discount %,Units Left,Link,Number of Opinions,Extra Information,Date
"Order out of Chaos: Islam, Information, and the Rise and Fall of Social Orders in Iraq (Religion and Conflict) (libro en Inglés)",David Siddhartha Patel, 290.105, 145.052,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-order-out-of-chaos-islam-information-and-the-rise-and-fall-of-social-orders-in-iraq-religion-and-conflict-libro-en-ingles/9781501767944/p/54480618,(0),"['Cornell University Press', ' Tapa Blanda', 'Nuevo']",2023-10-21
Roßhalde. Knulp. Demian. Siddhartha: Bd. 3,Hermann Hesse, 435.512, 217.756,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-roshalde-knulp-demian-siddhartha-bd-3/9783518411032/p/47087821,(0),"['Suhrkamp Verlag Gmbh', ' Tapa dura', 'Nuevo']",2023-10-21
"Economic Development, Climate Change, and the Environment (libro en Inglés)","Ajit Sinha (Editor), Siddhartha Mitra (Editor)", 340.979, 170.489,50,Quedan 10 unidades,https://www.buscalibre.com.co/libro-economic-development-climate-change-and-the-environment-libro-en-ingles/9781138376748/p/55618856,(0),"['Routledge Chapman Hall', ' Tapa Blanda', 'Nuevo']",2023-10-21
Entrepreneurship,Dash Siddhartha Sankar, 590.596, 295.298,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-entrepreneurship-with-a-mission/9783659411717/p/46642779,(0),"['LAP Lambert Academic Publishing', ' Tapa blanda', 'Nuevo']",2023-10-21
Searching Alternatives (libro en Inglés),Mukund R. Dixit (Editor) Siddarth Singh Bist (Editor) Sweety Shah (Editor), 428.380, 214.190,50,Quedan 3 unidades,https://www.buscalibre.com.co/libro-searching-alternatives-libro-en-ingles/9781032398792/p/55710973,(0),"['Routledge', ' 1ª edición', ' Tapa Blanda', 'Nuevo']",2023-10-21
Rare Isotope Beams: Concepts and Techniques (libro en Inglés),Alok Chakrabarti; Vaishali Naik; Siddhartha Dechoudhury, 918.836, 459.418,50,Quedan 10 unidades,https://www.buscalibre.com.co/libro-rare-isotope-beams-concepts-and-techniques-libro-en-ingles/9781498788786/p/55610536,(0),"['Crc Press', ' 1ª edición', ' Tapa Dura', 'Nuevo']",2023-10-21
Upfc Supplementary Damping Controller for low Frequency Oscillation (libro en Inglés),Asini Kumar Baliarsingh; Dr. Sidhartha Panda, 402.645, 201.322,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-upfc-supplementary-damping-controller-for-low-frequency-oscillation-libro-en-ingles/9783330652637/p/48917391,(0),"['Sps', ' 2017', ' Tapa blanda', 'Nuevo']",2023-10-21
Neuro,"Thomas, Kennedy Andrew ; Kureethara, Joseph Varghese ; Bhattacharyya, Siddhartha", 1.620.246, 810.123,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-neuro-systemic-applications-in-learning-libro-en-ingles/9783030723996/p/54778700,(0),"['Springer', ' Tapa Dura', 'Nuevo']",2023-10-21
Blockchain Based Internet of Things (Libro en Inglés),"de, Debashis ; Bhattacharyya, Siddhartha ; Rodrigues, Joel J. P. C.", 1.462.409, 731.204,50,Quedan 92 unidades,https://www.buscalibre.com.co/libro-blockchain-based-internet-of-things-libro-en-ingles/9789811692628/p/54676442,(0),"['Springer', ' Tapa Blanda', 'Nuevo']",2023-10-21
"Quantum Machine Learning: 6 (de Gruyter Frontiers in Computational Intelligence, 6) (libro en Inglés)",Siddhartha Bhattacharyya, 1.339.647, 669.823,50,Quedan 89 unidades,https://www.buscalibre.com.co/libro-quantum-machine-learning-6-de-gruyter-frontiers-in-computational-intelligence-6-libro-en-ingles/9783110670646/p/53855529,(0),"['De Gruyter', ' 2020', ' 1ª edición', ' Tapa dura', 'Nuevo']",2023-10-21
"Membrane Processes: Pervaporation, Vapor Permeation and Membrane Distillation for Industrial Scale Separations (libro en inglés)",Siddhartha Moulik, 1.928.642, 964.321,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-membrane-processes-pervaporation-vapor-permeation-and-membrane-distillation-for-industrial-scale-separations-libro-en-ingles/9781119418221/p/50038842,(0),"['John Wiley & Sons Inc', ' 2018', ' 1ª edición', ' Tapa dura', 'Nuevo']",2023-10-21
Hybrid Quantum Metaheuristics: Theory and Applications (Quantum Machine Intelligence) (libro en Inglés),"Bhattacharyya, Siddhartha ; Köppen, Mario ; Behrman, Elizabeth", 699.618, 349.809,50,Quedan 10 unidades,https://www.buscalibre.com.co/libro-hybrid-quantum-metaheuristics-theory-and-applications-quantum-machine-intelligence-libro-en-ingles/9780367751562/p/55668757,(0),"['CRC Press', ' 1ª edición', ' Tapa Dura', 'Nuevo']",2023-10-21
Intelligent Decision Support Systems: Applications in Signal Processing (Libro en Inglés),"Borra, Surekha ; Dey, Nilanjan ; Bhattacharyya, Siddhartha", 1.620.246, 810.123,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-intelligent-decision-support-systems-applications-in-signal-processing-libro-en-ingles/9783110618686/p/54769568,(0),"['de Gruyter', ' Tapa Dura', 'Nuevo']",2023-10-21
Robotization and Economic Development (libro en Inglés),Siddhartha Mitra, 787.305, 393.652,50,Quedan 10 unidades,https://www.buscalibre.com.co/libro-robotization-and-economic-development-libro-en-ingles/9780367353223/p/54165780,(0),"['Routledge Chapman & Hall', ' 2022', ' Tapa Dura', 'Nuevo']",2023-10-21
Computer Intelligence Against Pandemics (libro en Inglés),Siddhartha Bhattacharyya; Jyoti Sekhar Banerjee; Sergey Gorbachev; Khan Muhammad; Mario Koeppen, 1.221.620, 610.810,50,Quedan 2 unidades,https://www.buscalibre.com.co/libro-computer-intelligence-against-pandemics-libro-en-ingles/9783110767667/p/55533489,(0),"['De Gruyter', ' Tapa Dura', 'Nuevo']",2023-10-21
Modeling and Simulation for the Design of Membrane Processes (libro en Inglés),"Roy, Anirban ; Moulik, Siddhartha ; Kamesh, Reddi", 1.669.088, 834.544,50,Quedan 51 unidades,https://www.buscalibre.com.co/libro-modeling-and-simulation-for-the-design-of-membrane-processes-libro-en-ingles/9781119536062/p/52003720,(0),"['Wiley-Scrivener', ' 2020', ' 1ª edición', ' Tapa Dura', 'Nuevo']",2023-10-21
"A Novel Data Analysis Procedure for Spherical Nanoindentation: PhD Thesis, Siddhartha Pathak, Department of Materials Science and Engineering, Drexel University,  June 2009",Siddhartha Pathak, 617.584, 308.792,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-a-novel-data-analysis-procedure-for-spherical-nanoindentation-phd-thesis-siddhartha-pathak-department-of-materials-science-and-engineering-drexel-university-june-2009/9783838325927/p/46632317,(0),"['Lap Lambert Acad. Publ.', ' Tapa blanda', 'Nuevo']",2023-10-21
Soft Computing for Image and Multimedia Data Processing,Siddhartha Bhattacharyya, 475.927, 237.964,50,Quedan 66 unidades,https://www.buscalibre.com.co/libro-soft-computing-for-image-and-multimedia-data-processing/9783642402548/p/49593249,(0),"['Springer', ' Tapa dura', 'Nuevo']",2023-10-21
Intelligent Multimedia Data Analysis (Frontiers in Computational Intelligence) (libro en Inglés),"Siddhartha / Pan, Indrajit / Das, Abhijit / Gupta, Shibakali Bhattacharyya", 1.251.960, 625.980,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-intelligent-multimedia-data-analysis-frontiers-in-computational-intelligence-libro-en-ingles/9783110550313/p/51917020,(0),"['De Gruyter', ' 2019', ' 1ª edición', ' Tapa Dura', 'Nuevo']",2023-10-21
"Recent Frontiers of Phytochemicals: Applications in Food, Pharmacy, Cosmetics and Biotechnology (libro en Inglés)","Pati, Siddhartha ; Sarkar, Tanmay ; Lahiri, Dibyajit", 1.397.696, 698.848,50,Quedan 2 unidades,https://www.buscalibre.com.co/libro-recent-frontiers-of-phytochemicals-applications-in-food-pharmacy-cosmetics-and-biotechnology-libro-en-ingles/9780443191435/p/54956262,(0),"['Elsevier', ' 1ª edición', ' Tapa Blanda', 'Nuevo']",2023-10-21
Ethical Role of Statutory Auditors on Corporate Scams,Saha Siddhartha Sankar, 687.945, 343.973,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-ethical-role-of-statutory-auditors-on-corporate-scams/9783639761726/p/46594137,(0),"[""Scholars' Press"", ' Tapa blanda', 'Nuevo']",2023-10-21
Handbook of Research on Swarm Intelligence in Engineering,Siddhartha Bhattacharyya, 2.832.610, 1.416.305,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-handbook-of-research-on-swarm-intelligence-in-engineering/9781466682917/p/50128096,(0),"['IGI Global', ' Tapa Dura', 'Nuevo']",2023-10-21
Statutory Auditors' Independence in Protecting Stakeholders' Interest: An Empirical Study (libro en Inglés),Mitrendu Narayan Roy; Siddhartha Sankar Saha, 1.778.083, 889.042,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-statutory-auditors-independence-in-protecting-stakeholders-interest-an-empirical-study-libro-en-ingles/9783319737263/p/50875403,(0),"['Palgrave Macmillan', ' 2018', ' 1ª edición', ' Tapa dura', 'Nuevo']",2023-10-21
Acsl,"Rangavajjula, Siddhartha", 414.362, 207.181,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-acsl-junior-class-room-divisions-book-1-vol-1-american-computer-science-league-paperback-or-softback-libro-en-ingles/9781950573370/p/54834268,(0),"['Math-Knots Llc 5/26/2019', '', ' Tapa Blanda', 'Nuevo']",2023-10-21
Capital Markets and Investments: Essential Insights and Concepts for Professionals,Siddhartha Dastidar, 434.949, 217.475,50,Quedan 54 unidades,https://www.buscalibre.com.co/libro-capital-markets-and-investments-essential-insights-and-concepts-for-professionals/9780998814506/p/49863530,(0),"['Reading Light Publication', ' Tapa blanda', 'Nuevo']",2023-10-21
Problemas Sociais Actuais,"Rajadurai, J Benet|Devi K, Roshinibala|Madankar, Siddarth", 962.161, 481.081,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-problemas-sociais-actuais/9786206335771/p/55543339,(0),"['Edições Nosso Conhecimento', '', ' Tapa Blanda', 'Nuevo']",2023-10-21
Corporate Accounting Scandals: Select Case Studies across the Globe,Siddhartha Sankar Saha, 557.825, 278.913,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-corporate-accounting-scandals-select-case-studies-across-the-globe/9783659925252/p/48237075,(0),"['LAP LAMBERT Academic Publishing', ' Tapa Blanda', 'Nuevo']",2023-10-21
Conservation Landscapes and Human Well,"Krishnan, Siddhartha:", 787.305, 393.652,50,Quedan 10 unidades,https://www.buscalibre.com.co/libro-conservation-landscapes-and-human-well-being-sustainable-development-in-the-eastern-himalayas-transition-in-northeastern-india-libro-en-ingles/9781138313972/p/55621729,(0),"['Routledge India', ' 1ª edición', ' Tapa Dura', 'Nuevo']",2023-10-21
"Literarische Umsetzung des indischen Gedankenguts am Beispiel von Hermann Hesses Roman ""Siddhartha",Daniela Künzel, 314.901, 157.451,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-literarische-umsetzung-des-indischen-gedankenguts-am-beispiel-von-hermann-hesses-roman-siddhartha-eine-indische-dichtung-german-edition/9783638719728/p/48849724,(0),"['GRIN Publishing', ' Tapa Blanda', 'Nuevo']",2023-10-21
"Green Innovation, Sustainable Development, and Circular Economy (Green Engineering and Technology) (libro en Inglés)","Nitin Kumar Singh, Siddhartha Pandey, Himanshu Sh", 918.836, 459.418,50,Quedan 10 unidades,https://www.buscalibre.com.co/libro-green-innovation-sustainable-development-and-circular-economy-green-engineering-and-technology-libro-en-ingles/9780367441746/p/55633457,(0),"['Crc Press', ' 1ª edición', ' Tapa Dura', 'Nuevo']",2023-10-21
Intelligent Multi,"Sarkar, Soham ; Basu, Abhishek ; Bhattacharyya, Siddhartha", 1.051.770, 525.885,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-intelligent-multi-modal-data-processing-the-wiley-series-in-intelligent-signal-and-data-processing-libro-en-ingles/9781119571384/p/52818713,(0),"['Wiley', ' 2020', ' Tapa Dura', 'Nuevo']",2023-10-21
Handbook of Research on Advanced Hybrid Intelligent Techniques and Applications,Siddhartha Bhattacharyya, 2.416.095, 1.208.048,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-handbook-of-research-on-advanced-hybrid-intelligent-techniques-and-applications/9781466694743/p/50121274,(0),"['IGI Global', ' Tapa Dura', 'Nuevo']",2023-10-21
Ultra,Sundaresan Siddarth, 526.018, 263.009,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-ultra-fast-microwave-annealing-of-silicon-carbide-and-gallium-nitride/9783659662188/p/46799675,(0),"['LAP Lambert Academic Publishing', ' Tapa blanda', 'Nuevo']",2023-10-21
NODULATION AND NITROGEN FIXATION WITH NON,SIDDHARTHA PROTEEM SAIKIA, 487.464, 243.732,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-nodulation-and-nitrogen-fixation-with-non-legume-zea-mays-l/9783838390390/p/46674802,(0),"['LAP Lambert Academic Publishing', ' Tapa blanda', 'Nuevo']",2023-10-21
Quality Control Procedure for Statutory Financial Audit: An Empirical Study,Siddhartha Sankar Saha, 1.116.483, 558.241,50,Quedan 73 unidades,https://www.buscalibre.com.co/libro-quality-control-procedure-for-statutory-financial-audit-an-empirical-study/9781787142275/p/49627038,(0),"['Emerald Publishing Limited', ' Tapa dura', 'Nuevo']",2023-10-21
Human,"Bhattacharyya, Siddhartha", 394.232, 197.116,50,Quedan 2 unidades,https://www.buscalibre.com.co/libro-human-centric-smart-computing-proceedings-of-ichcsc-2022/9789811954047/p/54940141,(0),"['Springer 2022-11', '', ' Tapa Blanda', 'Nuevo']",2023-10-21
Quantum,Siddhartha Bhattacharyya, 1.583.067, 791.533,50,Quedan 56 unidades,https://www.buscalibre.com.co/libro-quantum-inspired-intelligent-systems-for-multimedia-data-analysis-advances-in-computer-and-electrical-engineering/9781522552192/p/50128104,(0),"['IGI Global', ' Tapa Dura', 'Nuevo']",2023-10-21
"The Brahmaputra River in Assam: Geomorphology, Hazards, and Natural Resources (libro en Inglés)",Siddhartha Kumar Lahiri, 655.774, 327.887,50,Quedan 10 unidades,https://www.buscalibre.com.co/libro-the-brahmaputra-river-in-assam-geomorphology-hazards-and-natural-resources-libro-en-ingles/9781032298528/p/54320744,(0),"['Crc Press', ' 1ª edición', ' Tapa Dura', 'Nuevo']",2023-10-21
"Colonizing, Decolonizing, and Globalizing Kolkata: From a  Colonial  to a Post",Siddhartha Sen, 1.132.763, 566.382,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-colonizing-decolonizing-and-globalizing-kolkata-from-a-colonial-to-a-post-marxist-city-asian-cities/9789462981119/p/49248562,(0),"['Amsterdam University Press', ' Tapa Dura', 'Nuevo']",2023-10-21
Mordida Profunda: A Discrepã Â¢Ncia Vertical,"Kakuloor, Jeevan Sai Kumar|Aileni, Kaladhar Reddy|Bhogi, Siddarth", 831.559, 415.780,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-mordida-profunda-a-discrepa-a-ncia-vertical/9786206049678/p/54978087,(0),"['Omniscriptum|Edi?Es Nosso Conhecimento', '', ' Tapa Blanda', 'Nuevo']",2023-10-21
Novas Fronteiras no Diagnã â Stico Ortodã â Ntico,"Thadisina, Pooja Reddy|Rachala, Madhukar Reddy|Bhogi, Siddarth", 728.909, 364.454,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-novas-fronteiras-no-diagna-a-stico-ortoda-a-ntico/9786205986028/p/54978001,(0),"['Omniscriptum|Edi?Es Nosso Conhecimento', ' Nuevo', 'Nuevo']",2023-10-21
soft computing in green and renewable energy systems,"kasthurirangan (edt) gopalakrishnan,siddhartha kumar (edt) khaitan,soteris (edt) kalogirou", 1.383.490, 691.745,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-soft-computing-in-green-and-renewable-energy-systems/9783642221750/p/7628780,(0),"['springer-verlag new york inc', 'Nuevo']",2023-10-21
Investigation on behavior of inverted cone hopper of a RCC Silo: A comprehensive finite element analysis,Siddhartha Bhattacharya, 422.886, 211.443,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-investigation-on-behavior-of-inverted-cone-hopper-of-a-rcc-silo-a-comprehensive-finite-element-analysis/9783659244278/p/46607199,(0),"['Lap Lambert Academic Publishing', ' Tapa blanda', 'Nuevo']",2023-10-21
Caracterizaã â§ã â£o das Superfã Â­Cies de Implantes Dentã Â¡ Rios,"Behera, Sidhartha. S.P|Nidawani, Prakash|Galagali, Girish", 598.114, 299.057,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-caracterizaa-a-a-a-o-das-superfa-a-cies-de-implantes-denta-a-rios/9786205816080/p/54652433,(0),"['Omniscriptum|Edi?Es Nosso Conhecimento', ' Nuevo', 'Nuevo']",2023-10-21
Novos Algoritmos Para a Detecã â§ã â£o de Falhas de Linha Usando pmu,"Alam, Mehebub|Thakur, Siddhartha Sankar|Banerjee, Sumit", 745.873, 372.936,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-novos-algoritmos-para-a-deteca-a-a-a-o-de-falhas-de-linha-usando-pmu/9786205953563/p/54924171,(0),"['Omniscriptum|Edi?Es Nosso Conhecimento', '', ' Tapa Blanda', 'Nuevo']",2023-10-21
Dinã Â¢Mica da Contenã â§ã â£o Etnonacional no sul da ã â sia,"Manna, Siddhartha Sankar|Kothari, Raj Kumar", 983.462, 491.731,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-dina-a-mica-da-contena-a-a-a-o-etnonacional-no-sul-da-a-a-sia/9786206086987/p/55002735,(0),"['Omniscriptum|Edi?Es Nosso Conhecimento', '', ' Tapa Blanda', 'Nuevo']",2023-10-21
"Indigenous People And Entrepreneurship In Kandhamal: Kandha Tribes, Land Alienation, Common Property Resources, Local Level Planning, Micro Enterprise, Women Empowerment",Siddhartha Sankar Dash, 487.464, 243.732,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-indigenous-people-and-entrepreneurship-in-kandhamal-kandha-tribes-land-alienation-common-property-resources-local-level-planning-micro-enterprise-women-empowerment/9783659234651/p/46597386,(0),"['Lap Lambert Academic Publishing', ' Tapa blanda', 'Nuevo']",2023-10-21
Select Case Studies on Accounting Scandals: Select Case Studies on Accounting Scandals: A Cross,Siddhartha Sankar Saha, 590.596, 295.298,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-select-case-studies-on-accounting-scandals-select-case-studies-on-accounting-scandals-a-cross-country-comparative-analysis-a-research-publication/9783659917936/p/48228525,(0),"['LAP LAMBERT Academic Publishing', ' Tapa Blanda', 'Nuevo']",2023-10-21
Regulating Cell to Cell Gap,Siddhartha Mitra, 617.584, 308.792,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-regulating-cell-to-cell-gap-junctional-signaling-by-tyrosine-kinase-s-crosstalk-between-tyrosine-kinase-signal-transduction-pathways-and-cx43-gap-junctional-communication/9783846534823/p/46631218,(0),"['Lap Lambert Acad. Publ.', ' Tapa blanda', 'Nuevo']",2023-10-21
Statutory Auditors' Objectivity in Corporate Accounting Scandals,Siddhartha Sankar Saha, 557.825, 278.913,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-statutory-auditors-objectivity-in-corporate-accounting-scandals/9783659405310/p/46598250,(0),"['Lap Lambert Academic Publishing', ' Tapa blanda', 'Nuevo']",2023-10-21
Confluence of Artificial Intelligence and Robotic Process Automation,"Bhattacharyya Siddhartha Bhattacharyya (), Banerjee Jyoti Sekhar Banerjee (), De Debashis De ()", 394.232, 197.116,50,Quedan 3 unidades,https://www.buscalibre.com.co/libro-confluence-of-artificial-intelligence-and-robotic-process-automation/9789811982972/p/54939789,(0),"['Springer Nature B.V. 2023-03-14', '', ' Tapa Blanda', 'Nuevo']",2023-10-21
UHF/VHF Radars studies on Atmospheric Stable and Turbulent layers: Observational Aspects of Atmospheric Stable and Turbulent Layers Structures over the Indian Region,Siddarth Shankar Das, 546.259, 273.129,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-uhf-vhf-radars-studies-on-atmospheric-stable-and-turbulent-layers-observational-aspects-of-atmospheric-stable-and-turbulent-layers-structures-over-the-indian-region/9783846558287/p/46652869,(0),"['Lap Lambert Academic Publishing', ' Tapa blanda', 'Nuevo']",2023-10-21
